 |-Pesticide|                        1               2               3               4               5               6
   83 DEF                     2.30E+00        3.00E+01        7.00E+00        3.00E-01        5.00E+03        0.00E+00
   84 Dessicant L-10          1.70E+04        1.00E+04        1.00E+04        9.00E-01        1.00E+05        0.00E+00
   85 Devrinol                7.40E+01        7.00E+01        1.50E+01        6.00E-01        4.00E+02        0.00E+00
   86 Dibrom                  2.00E+03        1.00E+00        5.00E-01        9.00E-01        1.80E+02        0.00E+00
   87 Dieldrin                1.00E-01        1.40E+03        5.00E+00        1.00E-01        5.00E+04        0.00E+00
   88 Dimilin                 1.00E-01        1.00E+01        2.70E+01        1.00E-01        1.00E+04        0.00E+00
   89 Dinitro                 5.00E+01        2.00E+01        3.00E+00        6.00E-01        5.00E+02        0.00E+00
   90 Dinitro                 2.20E+03        2.00E+01        1.00E+01        9.00E-01        6.30E+01        0.00E+00
   91 Diquat                  7.18E+05        1.00E+03        3.00E+01        9.00E-01        1.00E+06        0.00E+00
   92 Dinoseb                 5.00E+01        2.30E+01        2.30E+01        1.00E+00        4.90E+02        0.00E+00
   93 Di-Syston               2.50E+01        3.00E+01        3.00E+00        5.00E-01        6.00E+02        0.00E+00
   94 Dithane                 6.00E+00        7.00E+01        1.00E+01        3.00E-01        2.00E+03        0.00E+00
   95 Dowpon                  1.00E+03        3.00E+01        3.70E+01        9.00E-01        4.00E+00        0.00E+00
   96 Dropp                   2.00E+01        1.00E+01        3.00E+00        4.00E-01        1.10E+02        0.00E+00
   97 DSMA                    1.40E+06        1.00E+03        3.00E+01        9.00E-01        1.00E+05        0.00E+00
   98 Dual                    5.30E+02        9.00E+01        5.00E+00        6.00E-01        2.00E+02        0.00E+00
   99 Du-ter                  1.00E+00        7.50E+01        1.80E+01        4.00E-01        2.30E+04        0.00E+00
  100 Dyfonate                1.69E+01        4.00E+01        2.50E+00        6.00E-01        8.70E+02        0.00E+00
  101 Dylox                   1.20E+05        1.00E+01        3.00E+00        9.00E-01        1.00E+01        0.00E+00
  102 Dymid                   2.60E+02        3.00E+01        5.00E+00        8.00E-01        2.10E+02        0.00E+00
  103 Dynap                   2.00E+02        1.20E+01        1.20E+01        1.00E+00        3.00E+01        0.00E+00
  104 Dyrene                  8.00E+00        1.00E+00        5.00E-01        5.00E-01        3.00E+03        0.00E+00
  105 Elgetol                 1.00E+05        2.00E+01        8.00E+00        9.00E-01        2.00E+01        0.00E+00
  106 EPN                     5.00E-01        5.00E+00        5.00E+00        6.00E-01        1.30E+04        0.00E+00
  107 Eradicane               3.44E+02        6.00E+00        3.00E+00        8.00E-01        2.00E+02        0.00E+00
  108 Ethanox                 1.10E+00        1.50E+02        7.00E+00        6.00E-01        1.00E+04        0.00E+00
  109 Evik                    1.85E+02        6.00E+01        5.00E+00        6.00E-01        3.00E+02        0.00E+00
  110 Evital                  2.80E+01        9.00E+01        1.50E+01        5.00E-01        6.00E+02        0.00E+00
  111 Far-Go                  4.00E+00        8.20E+01        1.50E+01        4.00E-01        2.40E+03        0.00E+00
  112 Fenatrol                5.00E+05        1.80E+02        3.00E+01        9.00E-01        2.00E+01        0.00E+00
  113 Fenitox                 3.00E+01        8.00E+00        3.00E+00        9.00E-01        2.00E+03        0.00E+00
  114 Fruitone CPA            2.00E+05        1.00E+01        3.00E+00        9.00E-01        2.00E+01        0.00E+00
  115 Fumazone                1.00E+03        1.80E+02        9.90E+01        1.00E+00        7.00E+01        0.00E+00
  116 Fundal                  5.00E+05        6.00E+01        1.00E+00        9.00E-01        1.00E+05        0.00E+00
  117 Funginex                3.00E+01        2.10E+01        5.00E+00        8.00E-01        5.40E+02        0.00E+00
  118 Furadan                 3.51E+02        5.00E+01        2.00E+00        6.00E-01        2.20E+01        0.00E+00
  119 Fusilade                2.00E+00        1.50E+01        4.00E+00        4.00E-01        5.70E+03        0.00E+00
  120 Glean                   7.00E+03        1.60E+02        3.00E+01        8.00E-01        4.00E+01        0.00E+00
  121 Goal                    1.00E-01        3.50E+01        8.00E+00        4.00E-01        1.00E+05        0.00E+00
  122 Guthion                 2.90E+01        1.00E+01        2.00E+00        6.00E-01        1.00E+03        0.00E+00
  123 Harmony                 2.40E+03        1.20E+01        3.00E+00        8.00E-01        4.50E+01        0.00E+00
  124 Harvade                 3.00E+03        1.00E+01        3.00E+00        8.00E-01        1.00E+01        0.00E+00
  125 Hoelon                  8.00E-01        3.70E+01        0.00E+00        0.00E+00        1.60E+04        0.00E+00
  126 Hyvar                   7.00E+02        6.00E+01        2.00E+01        8.00E-01        3.20E+01        0.00E+00
  127 Hyvar                   7.00E+02        6.00E+01        0.00E+00        0.00E+00        3.20E+01        0.00E+00
  128 Imidan                  2.00E+01        1.90E+01        3.00E+00        9.00E-01        8.20E+02        0.00E+00
  129 Isotox                  7.30E+00        4.00E+02        2.50E+00        1.00E-01        1.10E+03        0.00E+00
  130 Karate                  0.00E+00        3.00E+01        5.00E+00        4.00E-01        1.80E+05        0.00E+00
  131 Karathane               4.00E+00        2.00E+01        8.00E+00        3.00E-01        5.50E+02        0.00E+00
  132 Karmex                  4.20E+01        9.00E+01        3.00E+01        4.00E-01        4.80E+02        0.00E+00
  133 Kelthane                1.00E+00        6.00E+01        4.00E+00        1.00E-01        1.80E+05        0.00E+00
  134 Kerb                    1.50E+01        6.00E+01        2.00E+01        3.00E-01        2.00E+02        0.00E+00
  135 Krenite                 1.79E+06        8.00E+00        4.00E+00        9.00E-01        1.50E+02        0.00E+00
  136 Lannate                 5.80E+04        3.00E+01        5.00E-01        6.00E-01        7.20E+01        0.00E+00
  137 Larvadex                1.36E+05        1.50E+02        3.00E+01        9.00E-01        2.00E+02        0.00E+00
  138 Larvin                  1.91E+01        7.00E+00        4.00E+00        7.00E-01        3.50E+02        0.00E+00
  139 Lasso                   2.40E+02        1.50E+01        3.00E+00        4.00E-01        1.70E+02        0.00E+00
  140 Limit                   1.00E+01        2.00E+01        8.00E+00        7.00E-01        1.00E+03        0.00E+00
  141 Logic                   6.00E+00        1.00E+00        9.90E+01        1.00E+00        1.00E+03        0.00E+00
  142 Londax                  1.20E+02        5.00E+00        9.90E+01        1.00E+00        3.10E+02        0.00E+00
  143 Lontrel                 3.00E+05        3.00E+01        2.00E+00        9.00E-01        6.00E+00        0.00E+00
  144 Lorox                   7.50E+01        6.00E+01        1.50E+01        6.00E-01        4.00E+02        0.00E+00
  145 Lorsban                 4.00E-01        3.00E+01        3.30E+00        6.00E-01        6.07E+03        0.00E+00
  146 Manzate                 6.00E+00        1.20E+01        3.00E+00        6.00E-01        1.00E+03        0.00E+00
  147 Marlate                 1.00E-01        1.20E+02        6.00E+00        1.00E-01        8.00E+04        0.00E+00
  148 Matacil                 9.15E+02        6.00E+00        4.00E+00        9.00E-01        1.00E+02        0.00E+00
  149 Mavrik                  0.00E+00        3.00E+01        7.00E+00        4.00E-01        1.00E+06        0.00E+00
  150 Merpan                  4.00E+00        1.00E+01        9.00E+00        6.00E-01        1.98E+02        0.00E+00
  151 Metasystox              1.00E+06        1.00E+01        3.00E+00        9.00E-01        1.00E+01        0.00E+00
  152 Metaldehyde             2.30E+02        1.00E+01        9.90E+01        1.00E+00        2.40E+02        0.00E+00
  153 Methyl Parathion        6.00E+01        5.00E+00        3.00E+00        6.00E-01        1.40E+04        0.00E+00
  154 Milogard                8.60E+00        1.35E+02        5.00E+00        4.00E-01        1.54E+02        0.00E+00
  155 Miral                   6.90E+01        3.40E+01        5.00E+00        6.00E-01        1.00E+02        0.00E+00
  156 Mitac                   1.00E+00        2.00E+00        1.00E+00        4.00E-01        1.00E+03        0.00E+00
  157 Mocap                   7.50E+02        2.50E+01        9.90E+01        1.00E+00        7.00E+01        0.00E+00
  158 Modown                  4.00E-01        7.00E+00        3.00E+00        4.00E-01        1.00E+04        0.00E+00
  159 Monitor                 1.00E+06        6.00E+00        4.00E+00        9.00E-01        5.00E+00        0.00E+00
  160 Morestan                1.00E+00        3.00E+01        1.00E+01        5.00E-01        2.30E+03        0.00E+00
  161 MSMA                    5.70E+04        1.00E+01        1.00E+01        1.00E+00        3.00E+05        0.00E+00
  162 Nemacur                 4.00E+02        5.00E+01        9.90E+01        1.00E+00        1.00E+02        0.00E+00
  163 Nemacur                 4.00E+02        5.00E+00        9.90E+01        1.00E+00        2.40E+02        0.00E+00
  164 N. Sulfoxide            4.00E+02        4.20E+01        9.90E+01        1.00E+00        4.00E+01        0.00E+00
  165 N. Sulfone              4.00E+02        1.80E+01        9.90E+01        1.00E+00        4.50E+01        0.00E+00
  166 Norton                  5.00E+01        3.00E+01        1.00E+01        6.00E-01        3.40E+02        0.00E+00
  167 N-Serve                 4.00E+01        1.00E+01        9.90E+01        1.00E+00        5.70E+02        0.00E+00
  168 Octave                  3.40E+01        1.20E+02        3.00E+01        5.00E-01        5.00E+02        0.00E+00
  169 Oftanol                 2.40E+01        1.50E+02        3.00E+01        6.00E-01        6.00E+02        0.00E+00
  170 Ordram                  9.70E+02        2.10E+01        9.90E+01        1.00E+00        1.90E+02        0.00E+00
  171 Orthene                 8.18E+05        3.00E+00        2.50E+00        7.00E-01        2.00E+00        0.00E+00
  172 Orthocide               5.10E+00        2.50E+00        9.00E+00        6.00E-01        2.00E+02        0.00E+00
  173 Oust                    7.00E+01        2.00E+01        1.00E+01        6.00E-01        7.80E+01        0.00E+00
  174 Paarlan                 1.00E-01        1.00E+02        9.90E+01        1.00E+00        1.00E+04        0.00E+00
  175 Paraquat                5.00E+05        9.90E+01        3.00E+00        6.00E-01        1.00E+06        0.00E+00
  176 Pay-Off                 1.00E-01        2.10E+01        5.00E+00        4.00E-01        1.00E+05        0.00E+00
  177 Penncap-M               6.00E+01        5.00E+00        3.00E+00        9.00E-01        5.10E+03        0.00E+00
  178 Phenatox                3.00E+00        9.00E+00        2.00E+00        1.00E-01        1.00E+05        0.00E+00
  179 Phosdrin                6.00E+05        3.00E+00        6.00E-01        9.00E-01        4.40E+01        0.00E+00
  180 Phoskil                 2.40E+01        1.40E+01        4.00E+00        7.00E-01        5.00E+03        0.00E+00
  181 Pipron                  2.00E+01        3.00E+01        1.00E+01        6.00E-01        5.00E+03        0.00E+00
  182 Pix                     1.00E+06        1.00E+03        3.00E+01        9.00E-01        1.00E+06        0.00E+00
  183 Plantvax                1.00E+03        2.00E+01        1.00E+01        7.00E-01        9.50E+01        0.00E+00
  184 2 Plus 2                6.60E+05        2.10E+01        1.00E+01        9.00E-01        2.00E+01        0.00E+00
  185 Poast                   4.39E+03        5.00E+00        3.00E+00        7.00E-01        1.00E+02        0.00E+00
  186 Polyram                 1.00E-01        2.00E+01        7.00E+00        4.00E-01        5.00E+05        0.00E+00
  187 Pounce                  0.00E+00        3.00E+01        8.00E+00        3.00E-01        1.00E+05        0.00E+00
  188 Pramitol                7.20E+02        5.00E+02        3.00E+01        8.00E-01        1.50E+02        0.00E+00
  189 Prefar                  5.60E+00        1.20E+02        3.00E+01        4.00E-01        1.00E+03        0.00E+00
  190 Prelude                 6.20E+05        1.00E+03        3.00E+01        6.00E-01        1.00E+06        0.00E+00
  191 Prime                   1.00E-01        2.00E+01        7.00E+00        4.00E-01        1.00E+04        0.00E+00
  192 Princep                 6.20E+00        6.00E+01        5.00E+00        4.00E-01        1.30E+02        0.00E+00
  193 Probe                   1.50E+00        1.40E+01        5.00E+00        4.00E-01        3.00E+03        0.00E+00
  194 Prowl                   3.00E-01        9.00E+01        3.00E+01        4.00E-01        5.00E+03        0.00E+00
  195 Pursuit                 2.00E+05        9.00E+01        2.00E+01        9.00E-01        1.00E+01        0.00E+00
  196 Pydrin                  0.00E+00        3.50E+01        1.00E+01        3.00E-01        5.30E+03        0.00E+00
  197 Pyramin                 4.00E+02        2.10E+01        5.00E+00        9.00E-01        1.20E+02        0.00E+00
  198 Ramrod                  6.13E+02        6.00E+00        3.00E+00        4.00E-01        8.00E+01        0.00E+00
  199 Reflex                  7.00E+05        1.00E+02        3.00E+01        9.00E-01        6.00E+01        0.00E+00
  200 Rescue                  7.09E+05        1.00E+01        9.00E+00        4.00E-01        2.00E+01        0.00E+00
  201 Ridomil                 8.40E+03        7.00E+01        3.00E+01        7.00E-01        5.00E+01        0.00E+00
  202 Ro-Neet                 9.50E+01        3.00E+01        2.00E+00        5.00E-01        4.30E+02        0.00E+00
  203 Ronstar                 7.00E-01        6.00E+01        2.00E+01        5.00E-01        3.20E+03        0.00E+00
  204 Roundup                 9.00E+05        4.70E+01        2.50E+00        6.00E-01        2.40E+04        0.00E+00
  205 Rovral                  1.39E+01        1.40E+01        5.00E+00        4.00E-01        7.00E+02        0.00E+00
  206 Royal Slo-Gro           4.00E+05        3.00E+01        1.00E+01        9.00E-01        2.00E+01        0.00E+00
  207 Rubigan                 1.40E+01        3.60E+02        3.00E+01        4.00E-01        6.00E+02        0.00E+00
  208 Sancap                  1.60E+01        3.00E+01        5.00E+00        4.00E-01        9.00E+02        0.00E+00
  209 Savey                   5.00E-01        3.00E+01        5.00E+00        4.00E-01        6.20E+03        0.00E+00
  210 Scepter                 1.60E+05        6.00E+01        2.00E+01        9.00E-01        2.00E+01        0.00E+00
  211 Sencor                  1.22E+03        4.00E+01        5.00E+00        8.00E-01        6.00E+01        0.00E+00
  212 Sevin                   1.20E+02        1.00E+01        7.00E+00        6.00E-01        3.00E+02        0.00E+00
  213 2,4,5-TP                2.50E+00        2.00E+01        5.00E+00        4.00E-01        2.60E+03        0.00E+00
  214 Sinbar                  7.10E+02        1.20E+02        3.00E+01        7.00E-01        5.50E+01        0.00E+00
  215 Slug-Geta               2.40E+01        3.00E+01        1.00E+01        7.00E-01        3.00E+02        0.00E+00
  216 Sonalan                 3.00E-01        6.00E+01        4.00E+00        4.00E-01        4.00E+03        0.00E+00
  217 Sonar                   1.00E+01        2.10E+01        9.90E+01        1.00E+00        1.00E+03        0.00E+00
  218 Spectracide             6.00E+01        4.00E+01        4.00E+00        9.00E-01        1.00E+03        0.00E+00
  219 Spike                   2.50E+03        3.60E+02        3.00E+01        9.00E-01        8.00E+01        0.00E+00
  220 Sprout Nip              8.90E+01        3.00E+01        8.00E+00        9.00E-01        4.00E+02        0.00E+00
  221 Stam                    2.00E+02        1.00E+00        1.00E+00        7.00E-01        1.49E+02        0.00E+00
  222 Supracide               2.20E+02        7.00E+00        3.00E+00        9.00E-01        4.00E+02        0.00E+00
  223 Surflan                 2.50E+00        2.00E+01        5.00E+00        4.00E-01        6.00E+02        0.00E+00
  224 Sutan                   4.40E+01        1.30E+01        1.00E+00        3.00E-01        4.00E+02        0.00E+00
  225 Swat                    1.00E+06        1.70E+01        5.00E+00        9.00E-01        7.00E+00        0.00E+00
  226 Tackle                  2.50E+05        1.40E+01        5.00E+00        9.00E-01        1.13E+02        0.00E+00
  227 Talstar                 1.00E-01        2.60E+01        7.00E+00        4.00E-01        2.40E+05        0.00E+00
  228 Tandem                  1.80E+00        2.80E+01        8.00E+00        4.00E-01        5.60E+03        0.00E+00
  229 Tanone                  2.00E+02        4.00E+01        2.00E+00        6.00E-01        2.50E+02        0.00E+00
  230 Tattoo                  4.00E+01        5.00E+00        3.00E+00        9.00E-01        5.70E+02        0.00E+00
  231 TBZ                     5.00E+01        4.03E+02        3.00E+01        6.00E-01        2.50E+03        0.00E+00
  232 Telone                  2.27E+03        1.00E+00        1.00E+00        1.00E+00        6.20E+01        0.00E+00
  233 Telone II               2.25E+03        1.00E+01        5.00E+00        1.00E+00        3.20E+01        0.00E+00
  234 Temik                   6.00E+03        4.00E+01        1.00E+01        1.00E+00        4.00E+01        0.00E+00
  235 Temik                   6.00E+03        7.00E+00        2.00E+00        1.00E+00        4.00E+01        0.00E+00
  236 T. Sulfoxide            6.00E+03        3.00E+01        7.00E+00        1.00E+00        3.00E+01        0.00E+00
  237 T. Sulfone              6.00E+03        2.00E+01        6.00E+00        1.00E+00        1.00E+01        0.00E+00
  238 Tenoran                 2.50E+00        6.00E+01        1.50E+01        4.00E-01        3.00E+03        0.00E+00
  239 Terbutrex               2.20E+01        4.20E+01        5.00E+00        5.00E-01        2.00E+03        0.00E+00
  240 Terrachlor              4.00E-01        2.10E+01        4.00E+00        4.00E-01        5.00E+03        0.00E+00
  241 Terraneb                8.00E+00        1.30E+02        3.00E+01        5.00E-01        1.65E+03        0.00E+00
  242 Terrazole               5.00E+01        2.00E+01        3.00E+00        6.00E-01        1.00E+03        0.00E+00
  243 Thimet                  2.20E+01        6.00E+01        2.00E+00        6.00E-01        1.00E+03        0.00E+00
  244 Thiodan                 3.00E-01        5.00E+01        3.00E+00        1.00E-01        1.24E+04        0.00E+00
  245 Thiram                  3.00E+01        1.50E+01        8.00E+00        5.00E-01        6.70E+02        0.00E+00
  246 Thistrol                2.00E+05        1.40E+01        7.00E+00        9.00E-01        2.00E+01        0.00E+00
  247 Tillam                  1.00E+02        1.40E+01        4.00E+00        7.00E-01        4.30E+02        0.00E+00
  248 Tilt                    1.10E+02        1.10E+02        3.00E+01        7.00E-01        1.00E+03        0.00E+00
  249 Tolban                  1.00E-01        1.40E+02        1.00E+00        3.00E-01        2.24E+03        0.00E+00
  250 Topsin                  3.50E+00        1.00E+01        5.00E+00        4.00E-01        1.83E+03        0.00E+00
  251 Tordan                  1.00E+05        3.00E+01        8.00E+00        6.00E-01        2.00E+01        0.00E+00
  252 Tordon                  2.00E+05        9.00E+01        8.00E+00        6.00E-01        1.60E+01        0.00E+00
  253 Toxaphene               4.00E-01        5.00E+02        2.00E+00        1.00E-01        4.00E+05        0.00E+00
  254 Tralomethrin            0.00E+00        2.70E+01        1.00E+00        4.00E-01        1.00E+05        0.00E+00
  255 Treflan                 3.00E-01        6.00E+01        3.00E+00        4.00E-01        8.00E+03        0.00E+00
  256 Tre-Hold                1.05E+02        1.00E+01        5.00E+00        4.00E-01        3.00E+02        0.00E+00
  257 Trithion                6.00E-01        1.50E+01        6.00E+00        7.00E-01        1.25E+04        0.00E+00
  258 Tupersan                1.80E+01        9.00E+01        3.00E+01        7.00E-01        4.20E+02        0.00E+00
  259 Turflon                 2.30E+01        4.60E+01        1.50E+01        7.00E-01        7.80E+02        0.00E+00
  260 Vapam                   9.63E+05        7.00E+00        9.90E+01        1.00E+00        1.00E+01        0.00E+00
  261 Velpar                  3.30E+04        9.00E+01        3.00E+01        9.00E-01        5.40E+01        0.00E+00
  262 Vendex                  0.00E+00        9.00E+01        3.00E+01        2.00E-01        2.30E+03        0.00E+00
  263 Vernam                  1.08E+02        1.20E+01        2.00E+00        8.00E-01        2.60E+02        0.00E+00
  264 Vitavax                 1.95E+02        7.00E+00        9.90E+01        1.00E+00        2.60E+02        0.00E+00
  265 Volck oils              1.00E+02        1.00E+01        2.00E+00        6.00E-01        1.00E+03        0.00E+00
  266 Vorlex                  7.60E+03        1.00E+01        9.90E+01        1.00E+00        1.00E+01        0.00E+00
  267 Vydate                  2.82E+05        4.00E+00        4.00E+00        9.00E-01        2.50E+01        0.00E+00
  268 Weedar                  7.96E+05        1.00E+01        9.00E+00        4.00E-01        2.00E+01        0.00E+00
  269 Weed-B-Gon              5.00E+05        2.40E+01        1.00E+01        4.00E-01        8.00E+01        0.00E+00
  270 Weedone                 5.00E+01        1.00E+01        9.00E+00        4.00E-01        1.00E+03        0.00E+00
  271 Zolone                  3.00E+00        2.10E+01        8.00E+00        6.00E-01        1.80E+03        0.00E+00
